sale_date,trading_pair,token,buy_date,buy_price,sale_price,amount,proceeds,cost_basis,gain_loss,holding_period_days,short_term,is_simulated
2026-07-07,BTC/USDT,BTC,2026-07-07,64069.71000000,64049.82000000,0.00031216,19.99,20.00,-0.05,,True,True
2026-07-07,BTC/USDT,BTC,2026-07-07,63875.23000000,63786.59000000,0.00031280,19.95,19.98,-0.07,,True,True
2026-07-07,BTC/USDT,BTC,2026-07-07,63543.79000000,63407.27000000,0.00031396,19.91,19.95,-0.08,,True,True
2026-07-07,BTC/USDT,BTC,2026-07-07,63540.91000000,63810.47000000,0.00031331,19.99,19.91,0.04,,True,True
2026-07-07,BTC/USDT,BTC,2026-07-07,63744.37000000,63703.83000000,0.00031226,19.89,19.90,-0.05,,True,True
2026-07-07,BTC/USDT,BTC,2026-07-07,63450.44000000,63448.88000000,0.00031336,19.88,19.88,-0.04,,True,True
2026-07-07,BTC/USDT,BTC,2026-07-07,63566.32000000,63553.12000000,0.00031236,19.85,19.86,-0.04,,True,True
2026-07-08,BTC/USDT,BTC,2026-07-07,63700.00000000,63352.74000000,0.00031133,19.72,19.83,-0.15,,True,True
2026-07-08,BTC/USDT,BTC,2026-07-08,63511.10000000,63559.95000000,0.00031163,19.81,19.79,-0.02,,True,True
2026-07-08,BTC/USDT,BTC,2026-07-08,63543.70000000,62900.33000000,0.00031106,19.57,19.77,-0.24,,True,True
2026-07-08,BTC/USDT,BTC,2026-07-08,62933.77000000,62913.30000000,0.00031301,19.69,19.70,-0.05,,True,True
2026-07-08,BTC/USDT,BTC,2026-07-08,62965.17000000,63007.01000000,0.00031249,19.69,19.68,-0.03,,True,True
2026-07-08,BTC/USDT,BTC,2026-07-08,62741.74000000,62799.99000000,0.00031316,19.67,19.65,-0.02,,True,True
2026-07-08,BTC/USDT,BTC,2026-07-08,62755.75000000,62793.14000000,0.00031256,19.63,19.61,-0.03,,True,True
2026-07-08,BTC/USDT,BTC,2026-07-08,62828.44000000,62731.41000000,0.00031218,19.58,19.61,-0.07,,True,True
2026-07-08,BTC/USDT,BTC,2026-07-08,62573.96000000,62794.35000000,0.00031294,19.65,19.58,0.03,,True,True
2026-07-08,BTC/USDT,BTC,2026-07-08,62593.01000000,62346.20000000,0.00031279,19.50,19.58,-0.12,,True,True
2026-07-08,BTC/USDT,BTC,2026-07-08,62285.80000000,62162.50000000,0.00031345,19.49,19.52,-0.08,,True,True
2026-07-08,BTC/USDT,BTC,2026-07-08,62039.66000000,62068.91000000,0.00031428,19.51,19.50,-0.03,,True,True
2026-07-08,BTC/USDT,BTC,2026-07-08,61877.40000000,61844.00000000,0.00031522,19.49,19.51,-0.05,,True,True
2026-07-08,BTC/USDT,BTC,2026-07-08,61902.64000000,62058.79000000,0.00031445,19.51,19.47,0.01,,True,True
2026-07-08,BTC/USDT,BTC,2026-07-08,61991.99000000,62144.64000000,0.00031368,19.49,19.45,0.01,,True,True
2026-07-08,BTC/USDT,BTC,2026-07-08,62138.34000000,62240.00000000,0.00031269,19.46,19.43,-0.01,,True,True
2026-07-08,BTC/USDT,BTC,2026-07-08,62357.10000000,62115.17000000,0.00031123,19.33,19.41,-0.11,,True,True
2026-07-08,BTC/USDT,BTC,2026-07-08,61941.29000000,61887.08000000,0.00031275,19.36,19.37,-0.06,,True,True
2026-07-08,BTC/USDT,BTC,2026-07-08,61926.90000000,61905.32000000,0.00031248,19.34,19.35,-0.05,,True,True
2026-07-08,BTC/USDT,BTC,2026-07-08,61651.30000000,61575.10000000,0.00031370,19.32,19.34,-0.06,,True,True
2026-07-08,BTC/USDT,BTC,2026-07-08,61638.74000000,61665.26000000,0.00031297,19.30,19.29,-0.03,,True,True
2026-07-08,BTC/USDT,BTC,2026-07-08,61703.70000000,61804.06000000,0.00031234,19.30,19.27,-0.01,,True,True
2026-07-08,BTC/USDT,BTC,2026-07-08,62042.69000000,62238.03000000,0.00031038,19.32,19.26,0.02,,True,True
2026-07-08,BTC/USDT,BTC,2026-07-08,62315.51000000,62135.85000000,0.00030893,19.20,19.25,-0.09,,True,True
2026-07-08,BTC/USDT,BTC,2026-07-08,62187.21000000,62118.57000000,0.00030892,19.19,19.21,-0.06,,True,True
2026-07-08,BTC/USDT,BTC,2026-07-08,62247.39000000,62170.05000000,0.00030819,19.16,19.18,-0.06,,True,True
2026-07-08,BTC/USDT,BTC,2026-07-08,62240.53000000,62224.69000000,0.00030783,19.15,19.16,-0.04,,True,True
2026-07-08,BTC/USDT,BTC,2026-07-08,62064.35000000,62188.08000000,0.00030835,19.18,19.14,-0.00,,True,True
2026-07-08,BTC/USDT,BTC,2026-07-08,62291.11000000,62243.78000000,0.00030697,19.11,19.12,-0.05,,True,True
2026-07-09,BTC/USDT,BTC,2026-07-08,62223.98000000,62238.20000000,0.00030674,19.09,19.09,-0.03,,True,True
2026-07-09,BTC/USDT,BTC,2026-07-09,62244.47000000,62204.47000000,0.00030654,19.07,19.08,-0.05,,True,True
2026-07-09,BTC/USDT,BTC,2026-07-09,62174.28000000,62325.53000000,0.00030629,19.09,19.04,0.01,,True,True
2026-07-09,BTC/USDT,BTC,2026-07-09,61928.31000000,61905.47000000,0.00030763,19.04,19.05,-0.05,,True,True
2026-07-09,BTC/USDT,BTC,2026-07-09,61972.95000000,61903.09000000,0.00030676,18.99,19.01,-0.06,,True,True
2026-07-09,BTC/USDT,BTC,2026-07-09,61804.11000000,61806.99000000,0.00030718,18.99,18.98,-0.04,,True,True
2026-07-09,BTC/USDT,BTC,2026-07-09,62358.75000000,62539.54000000,0.00030411,19.02,18.96,0.02,,True,True
2026-07-09,BTC/USDT,BTC,2026-07-09,62783.96000000,62931.72000000,0.00030173,18.99,18.94,0.01,,True,True
2026-07-09,BTC/USDT,BTC,2026-07-09,62905.28000000,62966.90000000,0.00030102,18.95,18.94,-0.02,,True,True
2026-07-09,BTC/USDT,BTC,2026-07-09,62964.79000000,62982.94000000,0.00030039,18.92,18.91,-0.03,,True,True
2026-07-09,BTC/USDT,BTC,2026-07-09,62888.07000000,62861.99000000,0.00030043,18.89,18.89,-0.05,,True,True
2026-07-09,BTC/USDT,BTC,2026-07-09,62955.88000000,62889.72000000,0.00029969,18.85,18.87,-0.06,,True,True
2026-07-09,BTC/USDT,BTC,2026-07-09,62906.92000000,62679.98000000,0.00029949,18.77,18.84,-0.11,,True,True
2026-07-09,BTC/USDT,BTC,2026-07-09,62729.73000000,62705.61000000,0.00029979,18.80,18.81,-0.04,,True,True
2026-07-09,BTC/USDT,BTC,2026-07-09,62898.52000000,62739.99000000,0.00029876,18.74,18.79,-0.08,,True,True
2026-07-09,BTC/USDT,BTC,2026-07-09,62548.67000000,62924.85000000,0.00029976,18.86,18.75,0.08,,True,True
2026-07-09,BTC/USDT,BTC,2026-07-09,62843.75000000,62976.92000000,0.00029832,18.79,18.75,0.00,,True,True
2026-07-09,BTC/USDT,BTC,2026-07-09,62990.97000000,62976.06000000,0.00029739,18.73,18.73,-0.04,,True,True
2026-07-09,BTC/USDT,BTC,2026-07-09,62624.09000000,62569.43000000,0.00029869,18.69,18.70,-0.05,,True,True
2026-07-09,BTC/USDT,BTC,2026-07-09,62747.68000000,62697.65000000,0.00029778,18.67,18.68,-0.05,,True,True
2026-07-09,BTC/USDT,BTC,2026-07-09,62739.75000000,62778.79000000,0.00029746,18.67,18.66,-0.03,,True,True
2026-07-09,BTC/USDT,BTC,2026-07-09,63359.37000000,63349.66000000,0.00029412,18.63,18.64,-0.04,,True,True
2026-07-09,BTC/USDT,BTC,2026-07-09,63347.57000000,63208.25000000,0.00029390,18.58,18.62,-0.08,,True,True
2026-07-09,BTC/USDT,BTC,2026-07-09,63198.51000000,63228.95000000,0.00029403,18.59,18.58,-0.03,,True,True
2026-07-09,BTC/USDT,BTC,2026-07-09,63267.74000000,63284.77000000,0.00029349,18.57,18.57,-0.03,,True,True
